ID,ExpandedAccounts,ExpandedAccountDesc
1,1001,GROSS SALES
2,1002,"DISCOUNTS  "
3,1003,"FREIGHT                        "
4,1004,ROYALTY AND ADS
5,1005,PROMO-LOCAL
6,1006,RENTAL - PERCENTAGE
7,1008,REPAIRS & MAINTENANCE
8,1009,TAXES AND LICENSES - VARIABLE
9,1110,DEPRECIATION
10,1111,RENTAL - FIXED
11,1112,PREVENTIVE MAINTENANCE
12,1113,SECURITY & JANITORIAL
13,1114,TAXES AND LICENSES - FIXED
14,1115,OTHER INCOME
15,1116,GP NOVELTY
16,1117,DELIVERY INCOME
17,1118,DELIVERY CHARGES
18,1119,INCOME TAX
19,1120,ADMINISTRATIVE COST
20,1121,"TRAINING & SEMINARS  "
21,1122,"INSURANCE  "
22,1123,"TELEPHONE  "
23,1124,"GAS AND LUB  "
24,1125,"OFFICE SUPPLIES  "
25,1126,"REPRESENTATION  "
26,1127,"TRAVEL AND TRANSPORT "
27,1128,"PROFESSIONAL FEES "
28,1129,"MISC EMPLOYEE RELATED  "
29,1130,MISC OTHERS
30,1132,LPG
31,1133,KITCHENWARES
32,1134,ICESUPPLIES
33,1135,JANITORIAL SUPPLIES
34,1136,STOREGENERAL SUPPLIES
35,1137,ELECTRICITY
36,1138,WATER
37,1139,BASIC-MO
38,1140,OT-MO
39,1141,SSS-MO
40,1142,MED CARE-MO
41,1143,PAG-IBIG-MO
42,1144,HMO-MO
43,1145,SL/VL/EL-MO
44,1146,13TH MONTH-MO
45,1147,UNIFORM-MO
46,1148,MEALS-MO
47,1149,ECOLA/EDA-MO
48,1150,ALLOWANCE-MO
49,1151,MONTHLIES-OTHERS-MO
50,1152,BASIC-DA
51,1153,OT-DA
52,1154,SSS-DA
53,1155,MED CARE-DA
54,1156,PAG-IBIG-DA
55,1157,13TH MONTH-DA
56,1158,UNIFORM-DA
57,1159,MEALS-DA
58,1160,SL/VL/EL-DA
59,1161,ECOLA/EDA-DA
60,1162,DAILIES-OTHERS (SPES)-DA
61,1163,DAILIES-HMO-DA
62,1164,ALLOWANCE-DA
63,1165,DAILIES-OTHERS-DA
64,1166,COS-FOOD STANDARD
65,1167,COS-PAPER STANDARD
66,1168,COS-USAGE VARIANCE
67,1169,COS-PRICE VARIANCE
68,1170,COS-FOOD EXTRA
69,1171,COS-PCKG EXTRA
70,1172,COS-LAPSE
71,1173,VAT OUTPUT
72,1174,VAT INPUT
